Cidade,UF,IndiceConcorrenciaFraca,TotalResultados,Sociais,Diretorios,Marketplaces,SitesProprios
"Lajeado","RS",11.1,9,1,0,0,8
"Camaragibe","PE",11.1,9,1,0,0,8
"Cascavel","CE",20.0,10,2,0,0,8
"Ji-Paraná","RO",33.3,9,1,2,0,6
"Gaspar","SC",11.1,9,1,0,0,8
"Pacajus","CE",25.0,8,2,0,0,6
"Xinguara","PA",0.0,9,0,0,0,9
"Trairi","CE",11.1,9,1,0,0,8
"Açailândia","MA",12.5,8,1,0,0,7
"Rolim de Moura","RO",22.2,9,1,1,0,7
"Santana","AP",0.0,9,0,0,0,9
"Morada Nova","CE",11.1,9,0,1,0,8
"Tutóia","MA",14.3,7,1,0,0,6
"Ribeira do Pombal","BA",11.1,9,1,0,0,8
"Queimadas","PB",12.5,8,1,0,0,7
"Itupiranga","PA",11.1,9,1,0,0,8
"Bento Gonçalves","RS",20.0,10,1,1,0,8
"Seropédica","RJ",0.0,9,0,0,0,9
"Itaitinga","CE",12.5,8,1,0,0,7
"Dom Eliseu","PA",22.2,9,1,1,0,7
"São José de Mipibu","RN",11.1,9,1,0,0,8
"Videira","SC",22.2,9,2,0,0,7
"Catu","BA",11.1,9,1,0,0,8
"Campo Bom","RS",22.2,9,2,0,0,7
"Teresópolis","RJ",22.2,9,1,1,0,7
"Abaetetuba","PA",22.2,9,1,1,0,7
"Nilópolis","RJ",11.1,9,0,1,0,8
"Brusque","SC",44.4,9,2,2,0,5
"Queimados","RJ",30.0,10,1,2,0,7
"Cametá","PA",25.0,8,2,0,0,6
"Itaituba","PA",22.2,9,1,1,0,7
"Bragança","PA",0.0,9,0,0,0,9
"Camboriú","SC",11.1,9,1,0,0,8
"Breves","PA",22.2,9,2,0,0,7
"Itacoatiara","AM",33.3,9,2,1,0,6
"Manacapuru","AM",11.1,9,1,0,0,8
"Vilhena","RO",44.4,9,2,2,0,5
"Erechim","RS",40.0,10,2,2,0,6
"Santa Cruz do Capibaribe","PE",22.2,9,1,1,0,7
"Japeri","RJ",22.2,9,1,1,0,7
"Parintins","AM",22.2,9,2,0,0,7
"Cruzeiro do Sul","AC",0.0,9,0,0,0,9
"Tucuruí","PA",33.3,9,2,1,0,6
"Navegantes","SC",11.1,9,1,0,0,8
"Moju","PA",12.5,8,1,0,0,7
"Santa Inês","MA",0.0,9,0,0,0,9
"Pinheiro","MA",22.2,9,2,0,0,7
"Barra do Corda","MA",12.5,8,1,0,0,7
"Quixeramobim","CE",12.5,8,1,0,0,7
"Chapadinha","MA",14.3,7,1,0,0,6
"Biguaçu","SC",37.5,8,2,1,0,5
"Carpina","PE",22.2,9,1,1,0,7
"Tefé","AM",12.5,8,1,0,0,7
"Santa Izabel do Pará","PA",12.5,8,1,0,0,7
"Rio do Sul","SC",37.5,8,3,0,0,5
"Grajaú","MA",0.0,9,0,0,0,9
"Caçador","SC",25.0,8,2,0,0,6
"Alenquer","PA",11.1,9,1,0,0,8
"Capanema","PA",33.3,9,2,1,0,6
"Tailândia","PA",22.2,9,1,1,0,7
"Coari","AM",0.0,6,0,0,0,6
"Tabatinga","AM",0.0,8,0,0,0,8
"Tomé-Açu","PA",0.0,9,0,0,0,9
"Oriximiná","PA",11.1,9,1,0,0,8
"Farroupilha","RS",11.1,9,1,0,0,8
"Sousa","PB",22.2,9,2,0,0,7
"Igarapé-Miri","PA",0.0,8,0,0,0,8
"Benevides","PA",16.7,6,1,0,0,5
"Iranduba","AM",11.1,9,1,0,0,8
"Extremoz","RN",12.5,8,1,0,0,7
"Ouricuri","PE",37.5,8,3,0,0,5
"Portel","PA",11.1,9,1,0,0,8
"Montenegro","RS",14.3,7,1,0,0,6
"Bezerros","PE",11.1,9,1,0,0,8
"São Félix do Xingu","PA",11.1,9,0,1,0,8
"Monte Alegre","PA",11.1,9,0,1,0,8
"Camaquã","RS",22.2,9,2,0,0,7
"Carazinho","RS",22.2,9,2,0,0,7
"Nova Mutum","MT",22.2,9,2,0,0,7
"Humaitá","AM",0.0,9,0,0,0,9
